Type;Name;Country Code;Area (km²);1990;2000;2010;2011;2012;2013;2014;2015;2016;2017;2018
Country;Cuba;CUB;110860;10596987;11126430;11225832;11236670;11257101;11282720;11306902;11324781;11335109;11339259;11338138
Country;Curacao;CUW;444;145400;133860;148703;150831;152088;153822;155909;157980;159664;160175;159849
Country;Cyprus;CYP;9250;766615;943290;1112612;1124833;1135046;1143866;1152285;1160985;1170187;1179680;1189265
Country;Czech Republic;CZE;78866;10333355;10255063;10474410;10496088;10510785;10514272;10525347;10546059;10566332;10594438;10625695
Country;Denmark;DNK;43094;5140939;5339616;5547683;5570572;5591572;5614932;5643475;5683483;5728010;5764980;5797446
Country;Djibouti;DJI;23000;590398;717584;840198;853674;868136;883293;898696;913993;929112;944097;958920
Country;Dominica;DMA;754;70419;69650;70878;70916;70965;71016;71085;71183;71307;71458;71625
Country;Dominican Republic;DOM;48730;7133494;8471321;9695121;9813210;9930911;10048224;10165178;10281680;10397743;10513131;10627165
Country;Ecuador;ECU;283560;10230934;12681123;15011117;15243883;15474102;15707474;15951838;16212020;16491115;16785361;17084357
Country;Egypt, Arab Rep.;EGY;1001450;56134475;68831561;82761235;84529250;86422240;88404640;90424654;92442547;94447072;96442593;98423595
Country;El Salvador;SLV;21040;5270079;5887936;6183875;6210568;6237923;6266070;6295128;6325124;6356143;6388122;6420744
Country;Equatorial Guinea;GNQ;28051;419188;606181;943639;986853;1031191;1076413;1122276;1168568;1215179;1262001;1308974
Country;Eritrea;ERI;121320;2258653;2292416;3170435;3213972;;;;;;;
Country;Estonia;EST;45226;1569174;1396985;1331475;1327439;1322696;1317997;1314545;1315407;1315790;1317384;1320884
Country;Eswatini;SWZ;17364;822420;1005435;1064837;1072032;1079288;1086839;1095021;1104044;1113984;1124753;1136191
Country;Ethiopia;ETH;1127127;47887865;66224804;87639964;90139927;92726971;95385785;98094253;100835458;103603501;106400024;109224559
Country;Faroe Islands;FRO;1399;47274;46735;47814;47823;47843;47892;47960;48051;48173;48331;48497
Country;Fiji;FJI;18270;728573;811006;859818;863449;865069;865608;866453;868627;872399;877459;883483
Country;Finland;FIN;338145;4986431;5176209;5363352;5388272;5413971;5438972;5461512;5479531;5495303;5508214;5518050
Country;France;FRA;547030;58235697;60912500;65027507;65342780;65659809;65998687;66316100;66593366;66859768;66865144;66987244
Country;French Polynesia;PYF;4167;199905;240686;266455;267698;268998;270328;271705;273124;274575;276103;277679
Country;Gabon;GAB;267667;949488;1228360;1624140;1684635;1749682;1817071;1883800;1947686;2007873;2064823;2119275
Country;Gambia, The;GMB;11300;955593;1317703;1793196;1848147;1905011;1963711;2024042;2085860;2149139;2213894;2280102
Country;Georgia;GEO;69700;4802000;4077131;3786695;3756441;3728874;3717668;3719414;3725276;3727505;3728004;3731000
Country;Germany;DEU;357021;79433029;82211508;81776930;80274983;80425823;80645605;80982500;81686611;82348669;82657002;82927922
Country;Ghana;GHA;239460;14773277;19278856;24779619;25387710;25996449;26607642;27224472;27849205;28481946;29121471;29767108
Country;Gibraltar;GIB;7;29147;31077;33585;33612;33646;33692;33725;33736;33737;33728;33718
Country;Greece;GRC;131940;10196792;10805808;11121341;11104899;11045011;10965211;10892413;10820883;10775971;10754679;10727668
Country;Greenland;GRL;2166086;55600;56200;56905;56890;56810;56483;56295;56114;56186;56171;56025
Country;Grenada;GRD;344;96331;102833;106233;106796;107446;108170;108902;109599;110261;110874;111454
Country;Guam;GUM;541;130482;155329;159444;159692;159996;160407;161016;161853;162951;164281;165768
Country;Guatemala;GTM;108890;9263813;11650743;14630417;14948803;15270778;15595821;15923243;16252429;16583060;16914936;17247807
Country;Guinea;GIN;245857;6352283;8240730;10192176;10420471;10652029;10892810;11150977;11432088;11738441;12067539;12414318
Country;Guinea-Bissau;GNB;36120;975261;1201301;1522599;1562989;1604979;1648257;1692439;1737202;1782437;1828146;1874309
